Product,Rating,Title,Review,Brand,Line,RatingNumeric,HairPattern,HairDensity,ScalpCondition,HairConcerns
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,love!,this product is excellent for my wavy-messy-curly locks. nice scent and great texture. i put it on after the shower and it helps my waves look smooth instead of frizzy.,Cake Beauty,Hair,5,straight,medium,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,pretty nice product,"easy to use, doesn’t make hair oily, but does make it soft. overall a good product.",Cake Beauty,Hair,4,4c,fine,dry scalp,"volume, split ends"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,1.0 out of 5 stars,really wanted to like it,i really wanted to like it. unfortunately the smell of the shampoo and conditioner are not for me and when i used them (multiple times to make sure) my scalp would feel as if it was burning. the leave-in curl definer smells amazing and it's the only thing that i love.very disappointed.,Cake Beauty,Hair,1,curly,fine,sensitive scalp,"heat damage, dryness, shine, breakage"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,little girl 2b hair.,usually can’t find something i like for my daughters 2b hair. but this works great for school.,Cake Beauty,Hair,5,curly,fine,sensitive scalp,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,good to add thickness and volume to curly hair.,i have thin frizzy curly hair and i have been struggling to find good products. i ended up getting a sample of this in my ipsy subscription and i’m so glad i got it. i apply this to my hair after my shower everyday and it works good to add volume and thickness to my hair. i definitely recommend buying this.,Cake Beauty,Hair,5,curly,fine,,"frizz, volume"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,best product,this is wonderful for curly hair! daughter loves this brand and they smell amazing!,Cake Beauty,Hair,5,curly,medium,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,does what it advertises,yes it does what it says with only one product i’ve been using many products to achieve my curls and this product is one and done,Cake Beauty,Hair,5,curly,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great price great product,my curly/wavy hair has a mind of its own. this product leaves my hair soft with full curls. no sticky residue. smells great and doesn't require you use half the bottle on one application.,Cake Beauty,Hair,5,wavy,fine,,"volume, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,"the cap was broken, don't closed properly","love this product, the only thing i have to say is the cap was broken and was some spill out of the tube. cap don't closed properly.",Cake Beauty,Hair,5,wavy,fine,,"breakage, dryness, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,smells like light lemon cake,this works really for my 2b/2c hair. it's very light and doesn't weigh my curls down and the smell is amazing!,Cake Beauty,Hair,5,curly,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great for my curls,this product really helps my curls spring up.  my curls look so good after i apply this.  it gives them a light shine and smells great!,Cake Beauty,Hair,5,curly,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,wish it were curly girl friendly,love this stuff and love the scent. not curly girl approved so i switched to their brand of mousse. also a great product and it’s cga.,Cake Beauty,Hair,4,curly,medium,dry scalp,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,love this stuff!,i love this stuff! it really helps style my curls a little prettier and reduces frizz. i can tell a difference when i use it and when i don’t.,Cake Beauty,Hair,5,curly,medium,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,excellent results,"love this product.  curls keep the curl longer,  stay soft and wonderfully glossy.  i use the cream first, then the mousse.  terrific products.",Cake Beauty,Hair,5,curly,medium,dry scalp,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great product!,love this stuff! controls my permed curls but doesn’t leave it crunchy or weighed down.,Cake Beauty,Hair,5,curly,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,"no frizz, no crunch!","smells great, a little goes a long way, and it keeps my curls without making them crunchy.",Cake Beauty,Hair,5,curly,fine,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,amazing,this stuff might be the best curly hair product i’v come across!!  it doesn't make my hair feel heavy at all.  it’s super soft and defined now!!,Cake Beauty,Hair,5,curly,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,1.0 out of 5 stars,don't waste your money.,weighed my hair down. didn't enhance my curls. thick and slimey. doesn't do anything the description said it would.,Cake Beauty,Hair,1,curly,fine,oily scalp,"frizz, dryness, breakage"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,good,like the cream and the smell and i am going to try more of there products.,Cake Beauty,Hair,5,4c,medium,dry scalp,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,only product i’ll use,i have thin and curly hair. other products weigh it down and make it look greasy. this gives a natural and full curl. a little goes a long way so it lasts me a long while too!,Cake Beauty,Hair,5,curly,fine,,"volume, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,amazing product and safe!,i use this on my son's hair after it's so amazing and smells like cupcakes!!! keeps his curls frizzfree!,Cake Beauty,Hair,5,curly,medium,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,tamed the frizz!,purchased to tame my 16 yr old sons long curly hair. his hair was out of control and very frizzy. his hair looks great now!  looks soft and curly without looking like it has product it in it. very satisfied!,Cake Beauty,Hair,5,curly,fine,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,la amo,"es la mejor crema de peinar que he tenido hasta ahora!es una de las mejores inversiones, le da un olor super rico a el cabello, define los rizos super bien y es super ligera",Cake Beauty,Hair,5,4a,fine,sensitive scalp,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,not a one and done but acceptable with components,my hair is naturally curly but a very lose curl this product on its own doesn’t do the trick. however partnered with the mousse and your choice of finishing spray it leaves curls looking full and fabulous even on a rainy day.,Cake Beauty,Hair,4,curly,medium,,"volume, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,the smell…,"really like it and the best thing is the way it smells, omg fantastic",Cake Beauty,Hair,5,coily,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,i’m very impressed with how great it works!,"i like everything about it, works great on my dry frizzy curls without flaking or making my curls crunchy! lol",Cake Beauty,Hair,5,curly,fine,,"frizz, dryness"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,2.0 out of 5 stars,meh,it smells like lemon cake. other than the scent being nice i’m not really seeing it so much for my curls.,Cake Beauty,Hair,2,curly,medium,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great smell and keeps in curls,this is very well priced. it has a great smell and keeps in curls nicelysomething worth getting if u have curly hairit also keeps your hair away from frizzy ness,Cake Beauty,Hair,5,curly,fine,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,3.0 out of 5 stars,the scent made me nauseous,the product itself is fine. but the smell is sickly sweet and makes me nauseous. doesn't really smell like cake or frosting to me. but i think it's just my own opinion. if i liked the smell more i'd give a better review,Cake Beauty,Hair,3,wavy,fine,sensitive scalp,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,excellent product,"i love this stuff !! it’s not sticky like the other ones i have bought,, i will be trying the shampoo and conditioner",Cake Beauty,Hair,5,straight,fine,dry scalp,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,this really works!,"i live this product because it worked as it was advertised!! first product i’ve found that truly defines my curly hair!  no more frizziest!!big plus +++ great price especially for howgreat this product works on fine, long, unmanageable varied types of curls.",Cake Beauty,Hair,5,curly,fine,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,works like a charm,this curl cream works perfectly on my very frizzy and curly hair. it doesn't make it crunchy and stiff just nice well formed curls.,Cake Beauty,Hair,5,curly,fine,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great buy,i have curls that can be rather unruly and frizzy this is a great product even on the most humid days it gives me a nice natural curl.,Cake Beauty,Hair,5,curly,medium,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,happy curls,i love this product. great to tame frizz and helps keep curls under control.,Cake Beauty,Hair,5,curly,medium,sensitive scalp,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,makes my hair so soft and curly,"makes my hair so soft and brings out my curls, for a inexpensive product this is a must!",Cake Beauty,Hair,4,curly,medium,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,totally amazing,"i use the curl defining spray, the shampoo, and the four in one spray and my curls are beautiful weightless and amazing and my hair smells amazing all i can say is i will never buy anything else",Cake Beauty,Hair,5,curly,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,"smells amazing, works great!","works really well, smells like lemon meringue pie!!",Cake Beauty,Hair,5,3c,fine,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,2.0 out of 5 stars,smell is not good,not the right match for my hair type. the smell on the leave in is awful.,Cake Beauty,Hair,2,curly,thick,sensitive scalp,"frizz, split ends"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,love this curl line,this whole line of curl products has been fantastic for my hair.,Cake Beauty,Hair,5,curly,medium,,volume
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great,works great for curly hair,Cake Beauty,Hair,5,curly,fine,,"volume, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,smells amazing,smells amazing! gives me curls without crunch. after it dries it softens a lot. it doesn’t last as long as other products i’ve used. i love that it’s more natural then other products i’ve used.,Cake Beauty,Hair,4,curly,medium,dry scalp,dryness
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,this stuff is amazing for curly hair. anti frizz. conditions and gives you soft touchable curls,loved the way it smells and leaves my hair soft,Cake Beauty,Hair,5,4c,medium,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,curl cream,great for wigs and make them look life like.,Cake Beauty,Hair,4,4a,fine,,"shine, color-treated"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,perfect product for fine hair,"i love the sweet scent, and the soft and lightness it gives to my fine hair",Cake Beauty,Hair,5,coily,fine,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,some kind of magic,i'm always looking for creams that will give me great curls and won't make my hair feel greasy.this is it. this is the cream.,Cake Beauty,Hair,5,curly,medium,,"volume, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,adds curl,leaves hair with curl,Cake Beauty,Hair,5,curly,medium,,"volume, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,cake!!,cake! my curls best friend.  it smells so good and my curls have never been better.,Cake Beauty,Hair,5,curly,medium,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,1.0 out of 5 stars,crispy hair,headline says it all - crispy. nope!,Cake Beauty,Hair,1,straight,thick,,"heat damage, color-treated"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,works great,loved the scent.,Cake Beauty,Hair,5,4b,medium,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great product!,i love this product but i know others haven’t had any luck with it. everyone’s hair is different.,Cake Beauty,Hair,5,curly,medium,dry scalp,"shine, volume, split ends"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,best products,my new favorite products for curly hair!!,Cake Beauty,Hair,5,curly,medium,,"shine, volume"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,love the scent!!,smells nice. gotta put the right amount so hair doesn't feel sticky or weighed down. it's great when you do though.,Cake Beauty,Hair,5,4c,medium,dry scalp,volume
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,1.0 out of 5 stars,to sticky,to sticky and does not work in my curly hair. waste of time.,Cake Beauty,Hair,1,curly,medium,sensitive scalp,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,smell so good,love these,Cake Beauty,Hair,5,coily,fine,,"shine, split ends"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,curl really lasts but does make your hair crunchy and stiff.,it smells amazing but does make your hair “crunchy”.,Cake Beauty,Hair,5,3b,medium,sensitive scalp,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,great conditioner,"you can leave in, or blow dry on cool. works as expected.",Cake Beauty,Hair,5,3c,fine,dry scalp,dryness
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,love it,"works so good, so impressed.  it’s exactly what it says it is.  only thing is you have to wash your hair more often as this leaves a residue, so the following day your hair feels weird.  works perfectly though.  love the smell, it’s just like cake.",Cake Beauty,Hair,5,curly,fine,sensitive scalp,shine
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",1.0 out of 5 stars,not for me,"i have thick, wavy, coarse, frizzy hair and this product didnt do anything for me. it felt like glue, sticky, thick and weighed my hair down. i tried it with damp hair & dry hair for a week hoping for a different result but no, i guess it just doesnt work with my hair type.",Carol's Daughter,Curly Hair Products,1,wavy,fine,sensitive scalp,"frizz, dryness"
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",5.0 out of 5 stars,my new favorite!!,"it's amazing!! it is so slippery that the tiniest twirl of your fingers encourages immediate curls! it literally cut my styling time by 1 1/2 hours doing my finger twists. my style held strong for three days before finally getting frizzy, and even then it still didn't look that bad(but i always sleep on silk pillow sheets and that helps alot). hair is incredibly soft and light. the one thing you'll notice though when you take a shower is that wherever your hair had contact with (shoulders, neck, face) will feel super slippery like soap when washing off. on the positive, it reactivates immediately with water so it's almost like you don't need conditioner when detangling so that's a big plus! this is hands on my new go to leave in/ styling product. will buy again.",Carol's Daughter,Curly Hair Products,5,curly,fine,dry scalp,frizz
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",5.0 out of 5 stars,1 product  serious curl definition,very great product for naturals the best i’ve ever tried.,Carol's Daughter,Curly Hair Products,5,4c,thick,normal scalp,shine
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",5.0 out of 5 stars,it worked! i have bouncy curls now!,"i never thought i could just let my curls air dry and be done, but with this hair mask that is very much possible! i’m so happy with my purchase! i no longer need curl gels or creams after the shower! i just let it air dry and my curls are so bouncy and defined! i’m very pleased with my purchase!i just apply the cream mainly to the bottom half of my hair after my conditioner and let it sit for 5 minutes then rinse!",Carol's Daughter,Curly Hair Products,5,curly,fine,,dryness
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",1.0 out of 5 stars,zero stars - worst. smell. ever. and no way to get it out of hair.,i shampooed my hair six times with anothe product and cannot get this horrific smell out of my hair. god help me.,Carol's Daughter,Curly Hair Products,1,coily,,sensitive scalp,
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",5.0 out of 5 stars,best conditioner i've used,"this is the best conditioner i've found to work with my hair. i have what i believe is 4c hair and it has been very difficult to work with. i've attached a picture of my hair before use (2 weeks after last wash) and i may post an after as an update to this review. this conditioner cut my shower time for my wash day down from approximately 4 hours to about 2 and it leaves my hair soft and moisturized. i use it in conjunction with the marguerite's magic restorative cream by carol's daughter when i do a twist out and they leave my hair manageable and easy to comb through. i think i might be allergic to the murumuru seed as, when it got in my eyes or nose when washing in the shower, i became hoarse and couldn't stop sneezing for hours the first time but this has worked so well for me i still intend to use it. on my second use i just needed to be careful not to get it on my face and that technique worked wonders. the benefits outweigh this con as long as i'm careful! unfortunately this will probably prevent me from using their shampoo but i planned to use texture id on recommendation from a youtube influencer anyway once i finish my stock of shea moisturizer shampoo.",Carol's Daughter,Curly Hair Products,5,4c,fine,sensitive scalp,dryness
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",4.0 out of 5 stars,great for day 1 styling,"love the hold, definition, and shine it adds to my hair on day 1. if you are looking for a good product for great day 2+ hair this will become dull, frizzy and hard to refresh. doesn't become flaky or crusty put once the cast is softened it is hard to get the same results on day 2 or more hair without completely rewetting and reapplying fresh product.",Carol's Daughter,Curly Hair Products,4,,medium,dry scalp,"frizz, shine"
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",5.0 out of 5 stars,love this!,"this is now my favorite product. it is now a permanent event in my weekly hair routine. i use it in my lco method and it leaves my hair so soft when it dries. a little goes a long way so be careful, because it is heavy.",Carol's Daughter,Curly Hair Products,5,wavy,thick,dry scalp,"dryness, shine, volume"
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",5.0 out of 5 stars,new favorite hair mask (type 3c/4a/4b hair),"the hair mask is amazing... im not a fan of the smell and it does linger in your hair (reminds me of the aveeno lavender baby lotion) ... but it has amazing slip, left my hair super soft, and my curls were defined after using so i can’t complain. i have multiple textures and porosities throughout my hair but my hair is mainly 4a, low porosity. sometimes products dont work in all textures of my hair but this one worked extremely well! this will definitely be a new staple in my routine.",Carol's Daughter,Curly Hair Products,5,curly,fine,dry scalp,"shine, dryness, split ends"
